route,platform,uav_id,edge_seq,from_node_id,to_node_id,direct_distance_km,safe_detour_distance_km,straight_segment_intersects_nfz,detoured,wkt
Route 5,P05,UAV-C02,6,M083,M084,0.4857513458037086,0.4857513458037086,0,0,"LINESTRING(5386.451 2153.525, 5776.841 1864.475)"
Route 5,P05,UAV-C02,7,M084,M085,0.7618221543912275,0.7618221543912275,0,0,"LINESTRING(5776.841 1864.475, 6293.412 1304.540)"
Route 5,P05,UAV-C02,8,M085,M090,1.0885280167009905,1.0885280167009905,0,0,"LINESTRING(6293.412 1304.540, 5220.806 1490.038)"
Route 5,P05,UAV-C02,9,M090,M089,0.5672999324860704,0.5672999324860704,0,0,"LINESTRING(5220.806 1490.038, 5529.103 1013.821)"
Route 5,P05,UAV-C02,10,M089,M086,0.38479043233615956,0.38479043233615956,0,0,"LINESTRING(5529.103 1013.821, 5820.971 763.069)"
Route 5,P05,UAV-C02,11,M086,M087,1.0367885732506013,1.0367885732506013,0,0,"LINESTRING(5820.971 763.069, 5119.075 0.000)"
Route 5,P05,UAV-C02,12,M087,M088,0.5884634234668022,0.5884634234668022,0,0,"LINESTRING(5119.075 0.000, 4733.639 444.666)"
Route 5,P05,UAV-C02,13,M088,M091,0.6155093663821211,0.6155093663821211,0,0,"LINESTRING(4733.639 444.666, 4427.468 978.624)"
Route 5,P05,UAV-C02,14,M091,M095,0.5460689336212966,0.5460689336212966,0,0,"LINESTRING(4427.468 978.624, 3908.841 1149.555)"
Route 5,P05,UAV-C02,15,M095,M092,0.8272757044752034,1.0629226594361347,1,1,"LINESTRING(3908.841 1149.555, 3908.841 448.026, 3621.800 448.026, 3621.800 373.673)"
Route 5,P05,UAV-C02,16,M092,M093,1.641584733911568,1.641584733911568,0,0,"LINESTRING(3621.800 373.673, 2561.894 1627.228)"
Route 5,P05,UAV-C02,17,M093,M094,0.5927580678592744,0.5927580678592744,0,0,"LINESTRING(2561.894 1627.228, 3004.006 2022.069)"
Route 5,P05,UAV-C02,18,M094,P05,4.3053144349656955,4.3053144349656955,0,0,"LINESTRING(3004.006 2022.069, 3319.960 6315.774)"
